Date,Temperature,RelHumidity,AtmPressure,Visibility,WindDir,WindSpeed,Precipitation,Snowfall,SnowDepth,Discharge,StageHeight
2017-03-03,26.201944444444447,72.71222222222222,29.321650000000005,9.708333333333334,205.53333333333333,9.130555555555555,0.0,0.0,0.0,3650.0,11.01
2017-03-04,37.97333333333333,60.148717948717945,29.240784615384616,9.893333333333333,173.36666666666667,11.428717948717948,0.0,0.0,0.0,3590.0,10.93
2017-03-05,45.04056437389771,70.84435626102292,29.118320105820104,9.777777777777779,177.81305114638448,10.2173721340388,0.0,0.0,0.0,3460.0,10.75
2017-03-06,52.97278225806451,66.08333333333333,28.988410618279563,9.51326164874552,183.16129032258064,12.827620967741936,0.0,0.0,0.0,3320.0,10.54
2017-03-07,40.80555555555556,57.291666666666664,29.091388888888886,10.0,205.2777777777778,11.5,0.38250000000000006,0.0,0.0,3230.0,10.42
2017-03-08,39.60472222222222,62.501666666666665,29.13950555555556,10.0,172.49444444444444,11.890555555555556,0.0,0.0,0.0,3200.0,10.37
2017-03-09,39.14861111111111,56.37444444444444,29.14916666666667,10.0,175.26666666666665,12.960555555555556,0.0,0.0,0.0,3320.0,10.55
2017-03-10,30.119722222222222,57.973381642512074,29.31712028985507,10.0,254.77053140096618,10.807898550724637,0.0,0.0,0.0,3480.0,10.77
2017-03-11,28.724999999999998,60.14611111111111,29.429561111111102,9.44,223.41666666666666,9.993840579710145,0.0,0.0,0.0,3490.0,10.79
2017-03-12,29.79695340501792,65.96989247311828,29.367451612903228,8.619713261648746,203.3220862686936,10.038709677419355,0.0,0.0,0.0,3460.0,10.74
2017-03-13,33.06929885860704,81.88318192406243,29.21176915909621,7.750815280689494,131.230251709349,9.129795373506065,0.30666666666666664,4.3,4.0,3440.0,10.71
2017-03-14,24.444444444444446,76.84444444444445,29.17144444444445,9.616666666666667,144.54022988505747,6.644444444444445,0.0,0.0,3.3333333333333335,3410.0,10.68
2017-03-15,22.217222222222222,86.48722222222221,29.05515,7.340277777777779,149.16111111111113,4.823333333333333,0.0,0.0,2.25,3250.0,10.44
2017-03-16,37.310833333333335,72.74888888888889,29.002849999999995,8.258333333333333,219.49920634920636,10.334999999999999,0.0,0.0,1.5,2990.0,10.07
2017-03-17,40.580246913580254,79.28395061728395,29.06555555555555,8.555555555555555,255.30864197530866,10.345679012345679,0.0,0.0,0.5,2750.0,9.71
2017-03-18,37.39794871794872,77.49846153846154,29.26895897435898,9.006410256410257,256.99444444444447,10.016923076923076,0.0,0.0,0.0,2570.0,9.45
2017-03-19,37.28352490421456,63.84214559386973,29.145180076628353,9.942528735632184,128.2142857142857,9.898850574712645,0.0,0.0,0.0,2410.0,9.21
2017-03-20,46.92666666666666,71.24,29.058666666666664,9.946666666666667,61.06666666666666,8.44,0.0,0.0,0.0,2340.0,9.1
2017-03-21,45.67,62.52333333333333,29.28335,9.861111111111112,218.05555555555554,12.032222222222222,0.0,0.0,0.0,2330.0,9.09
2017-03-22,36.8048433048433,60.445868945868945,29.35463437796771,10.0,130.08547008547006,9.113960113960113,0.0,0.0,0.0,2300.0,9.05
2017-03-23,43.07483623779508,74.64234334445679,29.136507971820546,9.02437275985663,172.71684587813618,11.345161290322581,0.0,0.0,0.0,2270.0,9.0
2017-03-24,54.34421921921921,68.68568568568568,29.088166666666663,8.403278278278279,169.88215488215488,10.126376376376376,0.0,0.0,0.0,2240.0,8.95
2017-03-25,46.85621260915714,79.64553140096619,29.00868764172336,7.384353741496599,112.26066189658103,9.290674603174603,0.3266666666666667,0.0,0.0,2280.0,9.02
2017-03-26,49.018013468013464,83.99423913936108,29.03393939393939,7.393528619528619,153.81986531986533,7.241077441077441,0.40666666666666673,0.0,0.0,2350.0,9.12
2017-03-27,51.62619488128276,84.27320382362011,29.01528060437866,7.801353572046359,192.63504611330697,8.316839688902594,0.0,0.0,0.0,2420.0,9.22
2017-03-28,49.98148148148148,85.74074074074072,29.01049382716049,8.629012345679014,165.8167141500475,5.984330484330484,0.0,0.0,0.0,2470.0,9.3
2017-03-29,47.90894308943089,77.36646341463414,28.98806707317073,8.253099593495934,180.69486137169065,15.241666666666665,0.0,0.0,0.0,2540.0,9.41
2017-03-30,43.31587301587301,84.52539682539683,28.839888888888897,8.0,145.44444444444446,11.955555555555556,1.01,0.0,0.0,3700.0,11.09
2017-03-31,28.751170710940826,79.37386569872959,28.97268199233717,8.082907620263942,190.90388007054673,8.338791583044456,0.03,0.0,0.0,4470.0,12.16
2017-04-01,27.74074074074074,79.72777777777777,29.05927777777778,6.729583333333333,193.75,8.24,0.0,0.0,0.0,4770.0,12.59
2017-04-02,31.919091710758376,83.2539423176678,29.022146825396828,8.888668430335096,188.77492877492878,11.499050332383666,0.006666666666666667,0.0,0.0,4770.0,12.59
2017-04-03,48.91882352941177,79.55218200100553,28.91933881347411,8.101307189542483,127.33545751633987,8.002554868101086,0.07,0.0,0.0,4700.0,12.49
2017-04-04,51.68379790940766,82.41192411924119,28.902351916376315,8.432476771196283,170.86140147115756,9.981997677119628,0.6466666666666666,0.0,0.0,5420.0,13.52
2017-04-05,48.029411764705884,84.89851865511095,28.884162210338676,7.601752822341058,174.84848484848487,11.253713606654783,0.07,0.0,0.0,5870.0,14.08
2017-04-06,43.10777777777777,73.70944444444444,29.092800000000008,9.493333333333334,240.13888888888889,13.110238095238095,0.37666666666666665,0.0,0.0,6150.0,14.34
2017-04-07,40.44916666666667,55.023888888888884,29.24841666666666,9.986666666666666,213.7823313223771,7.985555555555554,0.0,0.0,0.0,6040.0,14.24
2017-04-08,51.69444444444444,63.166666666666664,29.194305555555555,10.0,165.55555555555557,8.652777777777779,0.0,0.0,0.0,5660.0,13.85
2017-04-09,59.578611111111115,69.96555555555555,29.041561111111108,9.166666666666666,124.2388888888889,10.242777777777777,0.0,0.0,0.0,5200.0,13.21
2017-04-10,56.099999999999994,78.75,29.00125000000001,8.9375,198.08333333333334,12.425000000000002,0.15333333333333332,0.0,0.0,4770.0,12.59
2017-04-11,47.08080808080808,79.46761734997028,29.036850861556744,9.22979797979798,199.10353535353534,14.065062388591803,0.0,0.0,0.0,4470.0,12.16
2017-04-12,47.39416666666666,59.02833333333333,29.193994444444446,9.986111111111112,155.17512077294688,9.448888888888888,0.0,0.0,0.0,4110.0,11.66
2017-04-13,49.40825123152709,72.0311986863711,29.221206896551735,8.649630541871922,111.49425287356321,10.963875205254515,0.2333333333333333,0.0,0.0,3790.0,11.21
2017-04-14,51.44540229885057,62.34195402298851,29.22759441707717,8.773809523809524,163.82183908045977,11.529146141215106,0.0,0.0,0.0,3560.0,10.88
2017-04-15,61.01570048309179,60.26698872785829,29.179318840579707,9.509903381642511,156.3768115942029,9.691465378421901,0.385,0.0,0.0,3560.0,10.88
2017-04-16,53.13387096774194,71.62867383512544,29.14483870967742,7.71326164874552,143.7311827956989,10.343010752688171,1.6,0.0,0.0,6150.0,14.34
2017-04-17,48.22861111111111,71.63611111111112,29.15165555555556,7.412222222222222,110.91304347826087,8.776811594202899,0.0,0.0,0.0,6710.0,14.83
2017-04-18,50.51946818613486,73.80674264007598,29.144487179487175,9.224477682811015,152.91666666666666,10.433523266856602,0.0,0.0,0.0,6760.0,14.87
2017-04-19,51.51851851851852,62.1247795414462,29.16630952380952,9.765432098765432,178.9316239316239,8.369997286663954,0.016666666666666666,0.0,0.0,6530.0,14.68
2017-04-20,49.82896505376344,70.36122311827957,29.14898185483871,10.0,230.17809139784944,10.804771505376344,0.01,0.0,0.0,5780.0,13.99
2017-04-21,46.54083333333334,60.48333333333333,29.13350000000001,10.0,199.67777777777778,12.29277777777778,0.0,0.0,0.0,5240.0,13.26
2017-04-22,52.24944444444445,50.98499999999999,29.18937777777778,10.0,231.01449275362316,11.469999999999999,0.0,0.0,0.0,4830.0,12.68
2017-04-23,47.460833333333326,59.98333333333333,29.254177777777773,9.972222222222221,230.06642512077295,6.786666666666666,0.0,0.0,0.0,4680.0,12.46
2017-04-24,52.430833333333325,40.24111111111112,29.101744444444446,10.0,128.1262939958592,9.285555555555556,0.0,0.0,0.0,4480.0,12.17
2017-04-25,55.898717948717945,53.72871794871795,28.95380512820513,9.827179487179487,124.72521367521368,8.278974358974358,0.0,0.0,0.0,4290.0,11.9
2017-04-26,49.40688131313131,70.05366161616162,29.04570075757576,9.161458333333334,205.40719696969697,12.968118686868687,0.18666666666666668,0.0,0.0,4170.0,11.74
2017-04-27,43.33096254148886,64.29089615931721,29.039118065433854,9.567567567567567,181.60028449502136,15.83878615457563,0.19666666666666668,0.0,0.0,4130.0,11.69
2017-04-28,45.52157420578473,78.74608819345661,28.954276908487433,8.292792792792794,127.04362256993836,13.203651019440494,0.0,0.0,0.0,3950.0,11.44
